_id,no2,pm25,pm10,temperature,humidity,timestamp
6929bd48d59172f1e18b842a,46.82,0.5,0.6,24.9,50.7,2025-11-28 22:18:32
6929bd84d59172f1e18b842d,46.15,1.0,1.1,24.9,50.9,2025-11-28 22:19:32
6929bd98d59172f1e18b842e,46.37,2.4,7.0,24.9,51.0,2025-11-28 22:19:52
6929bdacd59172f1e18b842f,46.97,1.7,4.3,24.9,51.3,2025-11-28 22:20:12
6929bdc0d59172f1e18b8430,47.43,1.2,1.3,24.9,51.6,2025-11-28 22:20:32
6929bdd4d59172f1e18b8431,46.08,1.2,2.0,24.9,52.0,2025-11-28 22:20:52
6929bde8d59172f1e18b8432,45.49,0.8,1.5,24.9,52.1,2025-11-28 22:21:12
6929bdfcd59172f1e18b8433,46.0,1.5,2.4,25.0,52.1,2025-11-28 22:21:32
6929be10d59172f1e18b8434,46.23,0.7,1.5,25.0,51.8,2025-11-28 22:21:52
6929be24d59172f1e18b8435,46.9,2.3,3.6,25.0,51.6,2025-11-28 22:22:12
6929be38d59172f1e18b8436,45.93,1.3,1.7,25.1,51.7,2025-11-28 22:22:32
6929be4cd59172f1e18b8437,45.71,0.8,1.3,25.1,51.4,2025-11-28 22:22:52
6929be60d59172f1e18b8438,44.9,1.3,4.5,25.1,51.3,2025-11-28 22:23:12
6929be74d59172f1e18b8439,44.9,1.1,3.1,25.1,51.2,2025-11-28 22:23:32
6929be88d59172f1e18b843a,45.49,1.2,2.4,25.1,51.1,2025-11-28 22:23:52
6929be9cd59172f1e18b843b,44.46,0.8,0.9,25.1,51.0,2025-11-28 22:24:12
6929beb0d59172f1e18b843c,45.63,1.5,2.0,25.1,50.8,2025-11-28 22:24:32
6929bec4d59172f1e18b843d,44.82,1.1,1.8,25.0,50.6,2025-11-28 22:24:52
6929bed8d59172f1e18b843e,45.49,0.2,0.2,25.0,50.6,2025-11-28 22:25:12
6929beecd59172f1e18b843f,46.3,0.7,1.7,25.0,50.5,2025-11-28 22:25:32
6929bf00d59172f1e18b8440,46.3,1.8,2.0,24.9,50.5,2025-11-28 22:25:52
6929bf14d59172f1e18b8441,45.49,2.7,3.0,24.9,50.5,2025-11-28 22:26:12
6929bf28d59172f1e18b8442,46.6,0.2,0.3,24.9,50.5,2025-11-28 22:26:32
6929bf3cd59172f1e18b8443,46.3,0.6,0.8,24.9,50.3,2025-11-28 22:26:52
6929bf50d59172f1e18b8444,46.3,1.9,5.0,24.9,50.1,2025-11-28 22:27:12
6929bf64d59172f1e18b8445,44.9,0.4,0.4,24.9,50.1,2025-11-28 22:27:32
6929bf78d59172f1e18b8446,45.41,1.3,1.9,24.9,50.2,2025-11-28 22:27:52
6929bf8cd59172f1e18b8447,45.78,1.0,2.7,24.9,50.3,2025-11-28 22:28:12
6929bfa0d59172f1e18b8448,46.08,1.4,1.8,24.9,50.3,2025-11-28 22:28:32
6929bfb4d59172f1e18b8449,47.35,0.8,1.3,24.9,50.4,2025-11-28 22:28:52
6929bfc8d59172f1e18b844a,48.03,1.5,2.6,24.9,50.6,2025-11-28 22:29:12
6929bfdcd59172f1e18b844b,47.73,0.9,1.1,24.9,50.8,2025-11-28 22:29:32
